Wall time,Step,Value
1656264884.306635,0,0.8091921806335449
1656264945.2020035,1,0.7137883305549622
1656265006.160345,2,0.7835654616355896
1656265067.1315823,3,0.7047353982925415
1656265128.1735601,4,0.6713091731071472
1656265188.9292855,5,0.8727019429206848
1656265250.2279162,6,0.7387186884880066
1656265311.639595,7,0.8135097622871399
1656265372.9876266,8,0.8774373531341553
1656265434.4049852,9,0.8653203248977661
1656265495.2192569,10,0.9009749293327332
1656265556.1332884,11,0.9038997292518616
1656265617.6413407,12,0.7352367639541626
1656265678.584096,13,0.8888579607009888
1656265739.5696123,14,0.8649024963378906
1656265800.5459986,15,0.8926183581352234
1656265861.5502274,16,0.7380222678184509
1656265922.4712267,17,0.8866295218467712
1656265983.4459133,18,0.8661559820175171
1656266044.4340734,19,0.9079387187957764
1656266105.4168594,20,0.8888579607009888
1656266166.3546832,21,0.8832868933677673
1656266227.3457363,22,0.8997214436531067
1656266288.9186018,23,0.7747910618782043
1656266350.4159532,24,0.9090529084205627
1656266411.4236627,25,0.7447075247764587
1656266472.9302325,26,0.9069637656211853
1656266533.9695072,27,0.8945682644844055
1656266594.8684907,28,0.8245125412940979
1656266655.8395176,29,0.8735376000404358
1656266717.4714813,30,0.7541782855987549
1656266778.4418676,31,0.8736768960952759
1656266840.0114658,32,0.8626741170883179
1656266901.0221882,33,0.854178249835968
1656266962.605504,34,0.914345383644104
1656267023.582245,35,0.8284122347831726
1656267084.8049278,36,0.8866295218467712
1656267146.3248477,37,0.9052924513816833
1656267207.617076,38,0.8962395787239075
1656267269.1848242,39,0.833983302116394
1656267330.7763925,40,0.8392757773399353
1656267392.406952,41,0.9077994227409363
1656267453.3803594,42,0.9091922044754028
1656267514.4343896,43,0.7995821833610535
1656267575.364985,44,0.9026462435722351
1656267636.3795795,45,0.896657407283783
1656267697.419929,46,0.8955431580543518
1656267758.4086251,47,0.8147632479667664
1656267819.3628988,48,0.9052924513816833
1656267880.9166462,49,0.9002785682678223
1656267942.456139,50,0.9058495759963989
1656268003.557433,51,0.8983286619186401
1656268065.1754727,52,0.8920612931251526
1656268126.6376734,53,0.9083565473556519
1656268187.7572794,54,0.9096100330352783
1656268248.6910942,55,0.9179665446281433
1656268310.3322482,56,0.9183843731880188
1656268371.819052,57,0.9083565473556519
1656268432.8793442,58,0.9083565473556519
1656268494.4227216,59,0.9185236692428589
1656268555.3791974,60,0.9022284150123596
1656268616.7495863,61,0.9061281085014343
1656268678.222388,62,0.9075208902359009
1656268739.5195098,63,0.9026462435722351
1656268801.2076182,64,0.9009749293327332
1656268862.773495,65,0.8940111398696899
1656268924.3631258,66,0.902506947517395
1656268985.9367256,67,0.8917827010154724
1656269047.0860045,68,0.8884401321411133
1656269108.1213057,69,0.905153214931488
1656269169.2212248,70,0.9020891189575195
1656269230.1989343,71,0.905013918876648
1656269291.916953,72,0.9142061471939087
1656269353.0035217,73,0.8999999761581421
1656269414.0997944,74,0.9129526615142822
1656269475.1894875,75,0.9157381653785706
1656269536.8675535,76,0.9155988693237305
1656269598.4313571,77,0.9140668511390686
1656269660.0572054,78,0.9146239757537842
1656269721.5476947,79,0.9137883186340332
1656269782.6010356,80,0.9038997292518616
1656269844.084763,81,0.9128133654594421
1656269905.176258,82,0.9062674045562744
1656269966.2520504,83,0.905013918876648
1656270027.2528195,84,0.9094707369804382
1656270088.3451936,85,0.9108635187149048
1656270149.4876227,86,0.9058495759963989
1656270211.1402473,87,0.9105849862098694
1656270272.833591,88,0.9128133654594421
1656270334.359068,89,0.9054317474365234
1656270395.4321933,90,0.917827308177948
1656270457.019502,91,0.9110028147697449
1656270518.0515363,92,0.9098885655403137
1656270579.6068704,93,0.9044568538665771
1656270641.1267,94,0.9077994227409363
1656270702.0078123,95,0.9072423577308655
1656270762.8535717,96,0.9072423577308655
1656270824.4866018,97,0.9098885655403137
1656270886.0582228,98,0.9111420512199402
1656270947.6844802,99,0.9032033681869507
